time_ms,J1,J2,J3,J4,J5,gripper
65,88.71537403900257,100.52750151112052,120.0,109.73624924443973,50.0,open
129,88.72369360775681,100.49651262372619,120.0,109.75174368813691,50.0,open
198,88.73424717939335,100.489173001134,120.0,109.75541349943299,50.0,open
284,88.73196502256896,100.58015729593329,120.0,109.70992135203336,50.0,open
371,88.7113889453209,100.7240363686755,120.0,109.63798181566224,50.0,open
448,88.66276845045036,100.89832175655435,120.0,109.55083912172282,50.0,open
513,88.6039290106244,100.9824988922139,120.0,109.50875055389305,50.0,open
592,88.53915332482934,100.98176646692984,120.0,109.50911676653507,50.0,open
653,88.48087323058311,100.99657594811443,120.0,109.50171202594278,50.0,open
727,88.44165272014274,101.04696317529267,120.0,109.47651841235367,50.0,open
793,88.40812146571676,101.07838908710208,120.0,109.46080545644897,50.0,open
869,88.37703793817568,101.17231492598127,120.0,109.41384253700937,50.0,open
936,88.33670068584772,101.27428015710667,120.0,109.36285992144667,50.0,open
1005,88.29892269245394,101.40083701874683,120.0,109.29958149062658,50.0,open
1083,88.26579454882727,101.58187409581066,119.38530020826641,109.36273790002807,50.0,open
1142,88.2376886886677,101.9323612333509,116.27702458952163,109.96456323594414,50.0,open
1221,88.19896666272157,102.56828166409859,110.78664473699895,111.01919798370096,50.0,open
1303,88.12117272089364,104.46647414667912,97.64448186350091,113.35564246078522,50.0,open
1378,87.87873196075245,106.92984681093118,84.72134048543278,115.35474147317622,50.0,open
1455,87.43677687871197,109.53760074552352,80.0,116.90091404823796,50.0,open
1533,86.8206412686485,111.08034086676716,80.0,117.03082973255204,50.0,open
1611,86.10680300990357,111.61926614548476,80.0,116.75214064219276,50.0,open
1682,85.40721946808569,111.42691709170442,80.0,116.10358379976266,50.0,open
1749,84.64657761577391,111.90628297627255,80.0,115.51210577274982,50.0,open
1841,83.95733619799523,114.4789025144518,80.0,115.07773531278923,50.0,open
1922,83.25997949319294,119.11114175262313,80.0,114.74670747362623,50.0,open
1991,82.66124769262255,123.93864358535238,80.0,114.14797061877161,50.0,open
2057,82.09304759974148,127.78484047290445,80.0,113.33580730470476,50.0,open
2133,81.60051967332497,130.6022790094651,80.0,112.53934563067982,50.0,open
2212,81.1930550582916,132.62015840630247,80.0,111.88427320537247,50.0,open
2284,80.83742990276734,133.95746735755318,80.0,111.3933793746929,50.0,open
2363,80.54225326916766,134.856593086542,80.0,111.0280118337127,50.0,open
2442,80.29206411821357,135.5322865256367,80.0,110.60746282737108,50.0,open
2536,80.14016693492961,136.08140686071772,80.0,110.21410963155621,52.33071588703578,open
2614,80.06782346539694,136.45837033542017,80.0,109.93323506759783,52.45070402452967,open
2690,80.06390053776292,136.69825897785933,80.0,109.86591866373541,51.99496140906257,open
2763,80.11012092233713,137.07262893887042,80.0,109.8492731111015,50.0,open
2833,80.1969439788365,137.76798249033965,80.0,109.66523641384094,50.0,open
2914,80.31275535665998,138.83058655112578,80.0,109.26345613950458,50.0,open
2986,80.44653118566657,140.0,80.0,108.63027520959304,50.0,open
3061,80.58965944072453,140.0,80.0,107.7819663413577,50.0,open
3128,80.73539204612214,140.0,80.0,106.71970987579842,50.0,open
3208,80.8703720210394,140.0,80.0,105.51358012905725,50.0,open
3284,80.98027476390024,140.0,80.0,104.28795437706773,50.0,open
3373,81.06605130764814,140.0,80.0,103.10504737743783,50.0,open
3450,81.11847478313838,140.0,80.0,101.87839877022101,50.0,open
3530,81.14436446289116,140.0,80.0,100.96456033585181,50.0,open
3611,81.15183605874405,140.0,80.0,100.32486071643599,50.0,open
3687,81.16007264649522,140.0,80.0,100.19171496593185,50.0,open
3756,81.17137532860771,140.0,80.0,100.30350618998287,50.0,open
3823,81.17631859430082,140.0,80.0,100.59181033629412,65.40545771363483,open
3898,81.17358863947153,140.0,80.0,100.92901120828857,81.30719873837828,open
3983,81.1653125455178,140.0,80.0,101.27284191561779,87.19868999048717,open
4045,81.15259603808917,140.0,80.0,101.84704485683267,85.10422328987707,open
4112,81.12523219267612,140.0,80.0,102.24140930098037,80.20415696765028,open
4192,81.08081207447114,140.0,80.0,102.22154070361746,73.63774942274549,open
4264,81.02804114432391,140.0,80.0,102.01445133916215,66.32807557621564,open
4344,80.98020734929543,140.0,80.0,101.97457770886581,58.27372365469836,open
4404,80.94443275850722,140.0,80.0,102.09723559192011,52.96462541501958,open
4490,80.92202483476338,140.0,80.0,101.9779725444734,50.0,open
4569,80.90470383139669,140.0,80.0,101.8284951338326,50.0,open
4649,80.89113798436173,140.0,80.0,101.79321106610178,50.0,open
4717,80.87731779397318,140.0,80.0,101.8724691145546,50.0,open
4794,80.86820838903557,140.0,80.0,101.92861087439451,50.0,open
4865,80.86493313872691,140.0,80.0,102.00370256899103,50.0,open
4948,80.86883194269188,140.0,80.0,102.05430183743563,50.0,open
5015,80.87672823469401,140.0,80.0,102.04386554357082,50.0,open
5090,80.88616116825412,140.0,80.0,101.86649221415823,50.0,open
5165,80.89017477666027,140.0,80.0,101.65124915069441,50.0,open
5237,80.89125505749274,140.0,80.0,101.46546436768378,50.0,open
5316,80.8927599695933,140.0,80.0,101.49081037662256,50.0,open
5387,80.89623893843734,140.0,80.0,101.66504518725864,50.0,open
5464,80.90043056091463,140.0,80.0,101.89874683319313,50.0,open
5531,80.89667364919187,140.0,80.0,102.10982577405522,50.0,open
5602,80.8835332234942,140.0,80.0,102.1846391558382,50.0,open
5679,80.86249571906991,140.0,80.0,102.18289109232025,50.0,open
5765,80.8370301393243,140.0,80.0,102.16024507737501,50.0,open
5847,80.8122783820294,140.0,80.0,102.73905610689282,50.0,open
5918,80.78268519539114,140.0,80.0,103.66930401921132,50.0,close
5998,80.74622556125577,140.0,80.0,104.73852638089842,50.0,close
6087,80.70659361807392,140.0,80.0,105.25147500174972,50.0,close
6175,80.6704376855358,140.0,80.0,105.19855879916207,50.0,close
6251,80.64714803308328,140.0,80.0,104.76587424023634,50.0,close
6327,80.63514346970905,140.0,80.0,104.1205068826991,50.0,close
